global_sent_idx,word_idx,beta,lossy_surprisal
5,12,1.0,0.2083080524561222
5,13,1.0,7.912181552868511
5,14,1.0,12.075710923467453
5,15,1.0,1.9900661155991834
5,16,1.0,6.962844887342446
5,17,1.0,4.484474794506571
5,18,1.0,22.802013635526947
5,19,1.0,1.2127066834824247
5,20,1.0,6.293309548227499
5,21,1.0,4.439111962584395
6,0,0.1,
6,1,0.1,6.658029372293938
6,2,0.1,13.411219249377666
6,3,0.1,4.731845421237549
6,4,0.1,9.220867540222525
6,5,0.1,9.092130442867122
6,6,0.1,13.638307865782103
6,7,0.1,17.878227527138446
6,8,0.1,15.638419040863294
6,9,0.1,11.043614087519945
6,10,0.1,3.8581332421211196
6,11,0.1,12.362872763370197
6,12,0.1,5.5107406068317175
6,13,0.1,6.3045124981047005
6,14,0.1,6.9734308971848655
6,15,0.1,16.49494466347231
6,16,0.1,13.967479907811107
6,17,0.1,9.544473019791049
6,18,0.1,7.448499127877294
6,19,0.1,9.994790329018418
6,20,0.1,8.951610412808254
6,21,0.1,19.260204712277837
6,0,0.3,
6,1,0.3,6.658029372293938
6,2,0.3,13.399552331584268
6,3,0.3,7.802092658173673
6,4,0.3,9.28237681849346
6,5,0.3,10.492706744942346
6,6,0.3,13.917410433562072
6,7,0.3,18.325940908962853
6,8,0.3,15.541924666150637
6,9,0.3,12.28922439889481
6,10,0.3,4.372250914390811
6,11,0.3,13.111924608697567
6,12,0.3,5.161338623943555
6,13,0.3,6.55023866655569
6,14,0.3,12.007846122712053
6,15,0.3,17.031626534020074
6,16,0.3,13.89117137072662
6,17,0.3,8.547611553007759
6,18,0.3,7.355441642319527
6,19,0.3,10.568321476561858
6,20,0.3,8.953768139904582
6,21,0.3,20.151820409176594
6,0,0.5,
6,1,0.5,6.658029372293935
6,2,0.5,13.2419870001019
6,3,0.5,12.311189218184202
6,4,0.5,8.12891912475566
6,5,0.5,10.132055461289093
6,6,0.5,13.923432206582158
6,7,0.5,18.04713449530767
6,8,0.5,14.50882957410446
6,9,0.5,13.393789784574171
6,10,0.5,4.98351746859777
6,11,0.5,12.711178778216603
6,12,0.5,5.000703394892128
6,13,0.5,6.682532405561948
6,14,0.5,15.296301699170545
6,15,0.5,17.873072260972528
6,16,0.5,12.727084990961574
6,17,0.5,8.43419846970709
6,18,0.5,7.809014360561946
6,19,0.5,10.182903558078232
6,20,0.5,8.9654241262077
6,21,0.5,20.469261497391972
6,0,0.7,
6,1,0.7,6.658029372293937
6,2,0.7,13.005808866702955
6,3,0.7,14.419891215881625
6,4,0.7,7.106041547890183
6,5,0.7,10.454065724195715
6,6,0.7,12.800726022096729
6,7,0.7,17.386213533278035
6,8,0.7,12.051568521766592
6,9,0.7,14.002735498204034
6,10,0.7,4.217219964030332
6,11,0.7,11.545113339128402
6,12,0.7,5.571914476334977
6,13,0.7,7.108052017912826
6,14,0.7,19.71325130749233
6,15,0.7,17.331068193383377
6,16,0.7,11.986419512379621
6,17,0.7,7.521790501944889
6,18,0.7,7.608280795243917
6,19,0.7,9.489872887528433
6,20,0.7,8.100179607243469
6,21,0.7,19.846974993224404
6,0,0.9,
6,1,0.9,6.658029372293936
6,2,0.9,12.566013318469253
6,3,0.9,14.839872911202358
6,4,0.9,4.815470017738064
6,5,0.9,9.789017393706645
6,6,0.9,9.900305055633138
6,7,0.9,15.856521467449868
6,8,0.9,4.8785969067109844
6,9,0.9,12.222941212080546
6,10,0.9,2.9400800999691854
6,11,0.9,8.224118181558646
6,12,0.9,4.571437735924025
6,13,0.9,6.781204192996523
6,14,0.9,18.163363941120586
6,15,0.9,14.388291408888314
6,16,0.9,11.654584257088255
6,17,0.9,5.578488920727991
6,18,0.9,5.128749906603804
6,19,0.9,5.662840976324434
6,20,0.9,6.283239695726545
6,21,0.9,13.980598959397234
6,0,1.0,
6,1,1.0,6.658029372293937
6,2,1.0,12.284104365309728
6,3,1.0,14.0437139007354
6,4,1.0,3.2514063110665705
6,5,1.0,9.47066356948556
6,6,1.0,8.047509885318233
6,7,1.0,14.648944238762143
6,8,1.0,1.8141438581530611
6,9,1.0,10.916391008474536
6,10,1.0,0.1507147818069925
6,11,1.0,5.672135042604567
6,12,1.0,3.9851981521621833
6,13,1.0,6.354915797558366
6,14,1.0,15.36725144990467
6,15,1.0,12.431707615499478
6,16,1.0,11.875115862945902
6,17,1.0,3.3476347318079327
6,18,1.0,3.5664847188226667
6,19,1.0,3.431569488700319
6,20,1.0,5.269371624271369
6,21,1.0,7.696130067548617
7,0,0.1,
7,1,0.1,12.716025722270206
7,2,0.1,13.931528241716382
7,3,0.1,8.595756867669296
7,4,0.1,9.21672086652757
7,5,0.1,10.084571464144235
7,6,0.1,13.493852207671914
7,7,0.1,10.42865371407244
7,8,0.1,8.840753033129403
7,9,0.1,5.0410911405792245
7,10,0.1,13.686946210479555
7,11,0.1,6.364903861989874
7,12,0.1,9.675723877485217
7,13,0.1,5.589771519210463
7,14,0.1,12.06472980369264
7,15,0.1,10.531414035893569
7,0,0.3,
7,1,0.3,12.716025722270208
7,2,0.3,13.851924745041222
7,3,0.3,9.149609108577282
7,4,0.3,9.216295544380268
7,5,0.3,9.785011897130133
7,6,0.3,14.413599739668454
7,7,0.3,9.756285664349916
7,8,0.3,8.59711803953449
7,9,0.3,6.828652410571597
7,10,0.3,13.134973587072032
7,11,0.3,6.537249836521589
7,12,0.3,12.050335681332141
7,13,0.3,5.733575035295183
7,14,0.3,13.759360207314558
7,15,0.3,10.647349126902416
7,0,0.5,
7,1,0.5,12.71602572227021
7,2,0.5,11.7816432492063
7,3,0.5,10.219221624413509
7,4,0.5,9.509812294356735
7,5,0.5,8.380420182785155
7,6,0.5,15.47670405694646
7,7,0.5,9.768139015480063
7,8,0.5,8.29023365875386
7,9,0.5,4.417773246859605
7,10,0.5,12.896779789296659
7,11,0.5,5.896426081225817
7,12,0.5,13.867546678080693
7,13,0.5,5.339204343193139
7,14,0.5,15.55293961835253
7,15,0.5,9.65437170000069
7,0,0.7,
7,1,0.7,12.716025722270208
7,2,0.7,10.422154208270175
7,3,0.7,11.264243837309829
7,4,0.7,10.251867647591084
7,5,0.7,6.681324381187244
7,6,0.7,14.06428480063955
7,7,0.7,9.692344203995834
7,8,0.7,8.050730769237648
7,9,0.7,4.407181690378062
7,10,0.7,10.921297845486302
7,11,0.7,5.039915291456523
7,12,0.7,15.518233656994537
7,13,0.7,5.136341115294367
7,14,0.7,17.03489195571331
7,15,0.7,10.671648444240349
7,0,0.9,
7,1,0.9,12.716025722270205
7,2,0.9,8.627267613196782
7,3,0.9,13.834644938557759
7,4,0.9,10.232500470112639
7,5,0.9,2.8837647416777696
7,6,0.9,12.449968630178503
7,7,0.9,9.207485865969048
7,8,0.9,5.981579078580606
7,9,0.9,3.367873274379375
7,10,0.9,7.700605049244761
7,11,0.9,4.107832778798062
7,12,0.9,13.285340001490258
7,13,0.9,3.2200072979027308
7,14,0.9,16.211508793303985
7,15,0.9,8.88036913872554
7,0,1.0,
7,1,1.0,12.716025722270203
7,2,1.0,6.498950579725366
7,3,1.0,14.536701481503037
7,4,1.0,9.84240613311733
7,5,1.0,0.6154916828904704
7,6,1.0,9.193080131339968
7,7,1.0,7.132985260049212
7,8,1.0,5.960397227507531
7,9,1.0,0.8943065168162383
7,10,1.0,4.122524923014929
7,11,1.0,2.5528146750710015
7,12,1.0,11.391779948544684
7,13,1.0,0.17037147439386316
7,14,1.0,15.670870653633779
7,15,1.0,2.6091478503350896
8,0,0.1,
8,1,0.1,15.499469826958142
8,2,0.1,5.477763002321835
8,3,0.1,2.851739006965878
8,4,0.1,5.367585730902197
8,0,0.3,
8,1,0.3,14.9970264474255
8,2,0.3,5.151422951700233
8,3,0.3,6.562482209229173
8,4,0.3,11.181061662426309
8,0,0.5,
8,1,0.5,14.871415602542339
8,2,0.5,5.139694910451894
8,3,0.5,11.656427168140452
8,4,0.5,14.020658480982789
8,0,0.7,
8,1,0.7,14.494583067892854
8,2,0.7,4.917792478609404
8,3,0.7,13.891090979156305
8,4,0.7,12.86045716866281
8,0,0.9,
8,1,0.9,14.117750533243374
8,2,0.9,4.790449191833894
8,3,0.9,14.443948843894225
8,4,0.9,8.226760132605886
8,0,1.0,
8,1,1.0,14.023542399581002
8,2,1.0,4.743495801179237
8,3,1.0,12.755668411224685
8,4,1.0,4.222395592336262
9,0,0.1,
9,1,0.1,11.142017717312193
9,2,0.1,65.81539488840322
9,3,0.1,7.7851802764082665
9,4,0.1,27.759977126914972
9,5,0.1,8.50469256998539
9,6,0.1,2.3958481183858775
9,7,0.1,5.231999450273579
9,8,0.1,20.6399437151989
9,9,0.1,21.366991397354
9,10,0.1,11.67037877226097
9,11,0.1,4.322844467329799
9,12,0.1,19.786175401000182
9,0,0.3,
9,1,0.3,11.513040925670548
9,2,0.3,65.81539488840322
9,3,0.3,7.345324177382762
9,4,0.3,28.182147721105604
9,5,0.3,8.222216483396732
9,6,0.3,8.678188798882609
9,7,0.3,5.154438255767068
9,8,0.3,20.627279113435787
9,9,0.3,21.173108850965203
9,10,0.3,11.733620262546268
9,11,0.3,5.354417574300418
9,12,0.3,19.223183176508627
9,0,0.5,
9,1,0.5,12.440598946566434
9,2,0.5,66.83148197199438
9,3,0.5,7.593246978778544
9,4,0.5,27.730422671967172
9,5,0.5,9.152993060062041
9,6,0.5,12.53853346272158
9,7,0.5,5.045634421901853
9,8,0.5,21.228690449399238
9,9,0.5,19.52234143048023
9,10,0.5,11.684939134161354
9,11,0.5,5.764714981697763
9,12,0.5,18.591856537089896
9,0,0.7,
9,1,0.7,13.120808161890084
9,2,0.7,66.72741912715111
9,3,0.7,7.0241673105776385
9,4,0.7,26.26706473077481
9,5,0.7,8.373728340296978
9,6,0.7,16.484257819771734
9,7,0.7,4.20280134546068
