subject,beta,measure,measure_type,n_obs,delta_aic,lossy_est,lossy_se
ZJN,0.1,GD,early,2323,-1.7274648954116856,-0.007772885479280066,0.014898277619615173
ZJN,0.1,GPT,late,2323,-1.813091359079408,-0.009416125146292136,0.021773249173319256
ZJN,0.1,TRT,late,2323,-0.2573581819451647,-0.025121071934346657,0.019045694784795224
ZJN,0.1,reg,late,4206,-1.7557706962234079,-0.036503923064450224,0.07379748265340538
ZJN,0.3,FFD,early,2330,-1.904652831297426,-0.004798628828065055,0.013017743637475028
ZJN,0.3,GD,early,2330,-1.8098644429992419,-0.007603867380355475,0.017442272815783456
ZJN,0.3,GPT,late,2330,-1.9788556560815778,-0.0037198462684191413,0.025554050782839993
ZJN,0.3,TRT,late,2330,-1.0213247598294402,-0.022110014568773293,0.02234852682650771
ZJN,0.3,reg,late,4218,-1.5063734279829077,-0.06075839476846764,0.08647441688995092
ZJN,0.5,FFD,early,2330,-2.331005834759708,-0.005458506811045363,0.016229276147751746
ZJN,0.5,GD,early,2330,-1.9906884525080386,-0.0020719153876255377,0.021716156253951794
ZJN,0.5,GPT,late,2330,-1.9712802874782938,-0.005356619216543584,0.03159392374294672
ZJN,0.5,TRT,late,2330,-1.2840018709393917,-0.023470065502839026,0.02771638454690164
ZJN,0.5,reg,late,4218,-1.5468235160305994,-0.07310976902168206,0.10876283341603458
ZJN,0.7,FFD,early,2330,-0.5546057820392889,-0.025249926610844846,0.02033155792952738
ZJN,0.7,GD,early,2330,-1.9810484855224786,-0.0037541227314128608,0.027385934946718347
ZJN,0.7,GPT,late,2330,-1.356827518742648,0.03227734222176262,0.04031164775546892
ZJN,0.7,TRT,late,2330,-1.8579074538283749,-0.013284967066684776,0.035241279459011954
ZJN,0.7,reg,late,4218,0.5020497867790255,-0.22278553057976008,0.14176951131722507
ZJN,0.9,FFD,early,2330,3.5145303212702856,-0.0819396205421375,0.03375117679955672
ZJN,0.9,GD,early,2330,-0.4370872201216116,-0.05731580671570537,0.04576524163802934
ZJN,0.9,GPT,late,2330,-1.4943326258799061,0.04826956618009258,0.06796208029883975
ZJN,0.9,TRT,late,2330,-0.7084131288647768,-0.06756529028660405,0.05933825432406264
ZJN,0.9,reg,late,4218,-0.2706198766190937,-0.316716790661089,0.24271831836699004
ZJS,0.1,FFD,early,2049,-1.9930106173051172,9.804977622784802e-4,0.011722282063584994
ZJS,0.1,GD,early,2049,-0.02391810000699479,-0.021377824851979508,0.015212680888838969
ZJS,0.1,GPT,late,2049,-1.803179855356575,-0.008424829264838892,0.018995684735573892
ZJS,0.1,TRT,late,2049,0.9009315381590568,-0.02819282874244618,0.01656017187721847
ZJS,0.1,reg,late,4206,4.103627525537831,-0.30511483779668386,0.12224010405746523
ZJS,0.3,FFD,early,2054,-1.415898794264649,0.01051111755940631,0.013750174121138024
ZJS,0.3,GD,early,2054,-1.7429720983818697,-0.009089518361935486,0.017876636054086164
ZJS,0.3,GPT,late,2054,-1.7671111507588648,-0.010782408931145153,0.02231740685786898
ZJS,0.3,TRT,late,2054,-0.5324491749379376,-0.02351526085063479,0.019405744154178926
ZJS,0.3,reg,late,4218,2.7260088935272506,-0.3194913446222559,0.14679211898457578
ZJS,0.5,FFD,early,2054,-0.48432346571280505,0.0209421643288738,0.017027292820561864
ZJS,0.5,GD,early,2054,-1.9712008437236364,-0.0037460894973020027,0.02208191675686811
ZJS,0.5,GPT,late,2054,-1.5882306832063477,-0.01767208613878259,0.027509209437127164
ZJS,0.5,TRT,late,2054,-0.7928819016851776,-0.026215085092389383,0.023849711820221116
ZJS,0.5,reg,late,4218,2.537574935480734,-0.3972043856615987,0.1883561862071545
ZJS,0.7,FFD,early,2054,-0.9757411239224894,0.021893752601027754,0.021656273736591704
ZJS,0.7,GD,early,2054,-1.9838446817229851,-0.003575061115038641,0.028072923522156373
ZJS,0.7,GPT,late,2054,-1.4547632331486966,-0.02575815406270317,0.034835235983316636
ZJS,0.7,TRT,late,2054,-1.220806477125734,-0.02664005033596346,0.030136000932784186
ZJS,0.7,reg,late,4218,2.251308283221533,-0.5107558921414131,0.2518231480856196
ZJS,0.9,FFD,early,2054,-1.0506531880964758,0.035773247261703174,0.036752052521330354
ZJS,0.9,GD,early,2054,-1.8722665886743926,0.017061113881946595,0.047756573424483625
ZJS,0.9,GPT,late,2054,-1.8773252436949406,-0.020619413513462945,0.058840148745105965
ZJS,0.9,TRT,late,2054,-1.8637023521405354,0.01896291472419533,0.05139233847807887
ZJS,0.9,reg,late,4218,1.9410169903030692,-0.8858053454045162,0.45719513195880945
ZKB,0.1,FFD,early,2229,1.8182260186658823,-0.02195447562611895,0.011242908868301257
ZKB,0.1,GD,early,2229,13.21147936914349,-0.06149456333904051,0.01578229001153677
ZKB,0.1,GPT,late,2229,-0.03952201734864502,-0.03443637970133652,0.0246176912716851
ZKB,0.1,TRT,late,2229,1.64101616861808,-0.038703468585413375,0.020301174881408056
ZKB,0.1,reg,late,4206,-1.6727572286954455,-0.04081756827218036,0.07130775000871951
ZKB,0.3,FFD,early,2236,1.4255379743008234,-0.024243777546984924,0.013094558210111547
ZKB,0.3,GD,early,2236,10.309265473872074,-0.06446489222443909,0.018345336270600133
ZKB,0.3,GPT,late,2236,-1.5995989692382864,-0.018241170084245785,0.028816910686320075
ZKB,0.3,TRT,late,2236,-1.2215837608382571,-0.02097659193012118,0.023771422427062906
ZKB,0.3,reg,late,4218,-0.8622893122610549,-0.0893150907375547,0.08360986653489784
ZKB,0.5,GD,early,2236,8.413019869305572,-0.07348360858174764,0.02267981235375391
